year,month,period,naics,kind_of_business,measure,adjustment,value,preliminary
1998,1,1998-01,4522,Department stores,inv_sales_ratio,nsa,2.93,False
1998,2,1998-02,4522,Department stores,inv_sales_ratio,nsa,2.86,False
1998,3,1998-03,4522,Department stores,inv_sales_ratio,nsa,2.58,False
1998,4,1998-04,4522,Department stores,inv_sales_ratio,nsa,2.47,False
1998,5,1998-05,4522,Department stores,inv_sales_ratio,nsa,2.27,False
1998,6,1998-06,4522,Department stores,inv_sales_ratio,nsa,2.42,False
1998,7,1998-07,4522,Department stores,inv_sales_ratio,nsa,2.52,False
1998,8,1998-08,4522,Department stores,inv_sales_ratio,nsa,2.38,False
1998,9,1998-09,4522,Department stores,inv_sales_ratio,nsa,2.84,False
1998,10,1998-10,4522,Department stores,inv_sales_ratio,nsa,2.8,False
1998,11,1998-11,4522,Department stores,inv_sales_ratio,nsa,2.34,False
1998,12,1998-12,4522,Department stores,inv_sales_ratio,nsa,1.23,False
1999,1,1999-01,4522,Department stores,inv_sales_ratio,nsa,2.76,False
1999,2,1999-02,4522,Department stores,inv_sales_ratio,nsa,2.67,False
1999,3,1999-03,4522,Department stores,inv_sales_ratio,nsa,2.36,False
1999,4,1999-04,4522,Department stores,inv_sales_ratio,nsa,2.4,False
1999,5,1999-05,4522,Department stores,inv_sales_ratio,nsa,2.22,False
1999,6,1999-06,4522,Department stores,inv_sales_ratio,nsa,2.27,False
1999,7,1999-07,4522,Department stores,inv_sales_ratio,nsa,2.35,False
1999,8,1999-08,4522,Department stores,inv_sales_ratio,nsa,2.3,False
1999,9,1999-09,4522,Department stores,inv_sales_ratio,nsa,2.63,False
1999,10,1999-10,4522,Department stores,inv_sales_ratio,nsa,2.71,False
1999,11,1999-11,4522,Department stores,inv_sales_ratio,nsa,2.35,False
1999,12,1999-12,4522,Department stores,inv_sales_ratio,nsa,1.21,False
2000,1,2000-01,4522,Department stores,inv_sales_ratio,nsa,2.71,False
2000,2,2000-02,4522,Department stores,inv_sales_ratio,nsa,2.68,False
2000,3,2000-03,4522,Department stores,inv_sales_ratio,nsa,2.36,False
2000,4,2000-04,4522,Department stores,inv_sales_ratio,nsa,2.31,False
